station_id,year,met2005_emis2050_MFR_DEP_SOX_mgpm2,met2005_emis2050_MFR_DEP_TOTN_mgpm2,met2015_emis2015_Baseline_DEP_SOX_mgpm2,met2015_emis2015_Baseline_DEP_TOTN_mgpm2,met2015_emis2050_Diet_DEP_SOX_mgpm2,met2015_emis2050_Diet_DEP_TOTN_mgpm2,met2015_emis2050_MFR_DEP_SOX_mgpm2,met2015_emis2050_MFR_DEP_TOTN_mgpm2,met2005_emis2005_Baseline_DEP_SOX_mgpm2,met2005_emis2005_Baseline_DEP_TOTN_mgpm2,met2005_emis2030_Baseline_DEP_SOX_mgpm2,met2005_emis2030_Baseline_DEP_TOTN_mgpm2,met2005_emis2050_Diet_DEP_SOX_mgpm2,met2005_emis2050_Diet_DEP_TOTN_mgpm2,met2005_emis2030_MFR_DEP_SOX_mgpm2,met2005_emis2030_MFR_DEP_TOTN_mgpm2,met2015_emis2030_MFR_DEP_SOX_mgpm2,met2015_emis2030_MFR_DEP_TOTN_mgpm2,met2005_emis2050_Baseline_DEP_SOX_mgpm2,met2005_emis2050_Baseline_DEP_TOTN_mgpm2,met2015_emis2030_Baseline_DEP_SOX_mgpm2,met2015_emis2030_Baseline_DEP_TOTN_mgpm2,met2015_emis2050_Baseline_DEP_SOX_mgpm2,met2015_emis2050_Baseline_DEP_TOTN_mgpm2
38364,2015,,,214.08719,1085.1018,,,,,,,,,,,,,,,,,,,,
38391,2015,,,69.591,271.28195,,,,,,,,,,,,,,,,,,,,
38394,2015,,,153.03624,688.9847,,,,,,,,,,,,,,,,,,,,
38402,2015,,,54.270382,192.74695,,,,,,,,,,,,,,,,,,,,
38418,2015,,,296.6675,954.91797,,,,,,,,,,,,,,,,,,,,
38422,2015,,,237.09686,740.2985,,,,,,,,,,,,,,,,,,,,
38428,2015,,,234.54568,869.3105,,,,,,,,,,,,,,,,,,,,
38432,2015,,,205.67838,255.93011,,,,,,,,,,,,,,,,,,,,
38434,2015,,,165.23116,551.03723,,,,,,,,,,,,,,,,,,,,
38437,2015,,,232.10359,801.57465,,,,,,,,,,,,,,,,,,,,
23505,2005,,,,,,,,,731.28564,1971.6567,,,,,,,,,,,,,,
23506,2005,,,,,,,,,635.5865,1890.3148,,,,,,,,,,,,,,
23507,2005,,,,,,,,,709.61633,1785.2606,,,,,,,,,,,,,,
23509,2005,,,,,,,,,451.1857,1410.482,,,,,,,,,,,,,,
23510,2005,,,,,,,,,560.5244,1650.7396,,,,,,,,,,,,,,
23511,2005,,,,,,,,,744.2288,1994.4141,,,,,,,,,,,,,,
23512,2005,,,,,,,,,484.11798,1363.4844,,,,,,,,,,,,,,
23514,2005,,,,,,,,,484.11798,1363.4844,,,,,,,,,,,,,,
23522,2005,,,,,,,,,571.9371,1644.6553,,,,,,,,,,,,,,
23525,2005,,,,,,,,,800.8899,1914.8892,,,,,,,,,,,,,,
23527,2005,,,,,,,,,484.11798,1363.4844,,,,,,,,,,,,,,
23528,2005,,,,,,,,,716.93774,1804.3914,,,,,,,,,,,,,,
23530,2005,,,,,,,,,624.91187,1724.5336,,,,,,,,,,,,,,
23531,2005,,,,,,,,,484.11798,1363.4844,,,,,,,,,,,,,,
23532,2005,,,,,,,,,668.69183,1804.242,,,,,,,,,,,,,,
23533,2005,,,,,,,,,668.69183,1804.242,,,,,,,,,,,,,,
23534,2005,,,,,,,,,780.1632,1556.9479,,,,,,,,,,,,,,
23536,2005,,,,,,,,,773.65076,1961.8293,,,,,,,,,,,,,,
23537,2005,,,,,,,,,571.9371,1644.6553,,,,,,,,,,,,,,
23562,2005,,,,,,,,,269.63608,1282.9716,,,,,,,,,,,,,,
23563,2005,,,,,,,,,429.8597,2423.9014,,,,,,,,,,,,,,
23564,2005,,,,,,,,,269.63608,1282.9716,,,,,,,,,,,,,,
23565,2005,,,,,,,,,513.0798,2940.8628,,,,,,,,,,,,,,
23566,2005,,,,,,,,,471.5795,2608.6726,,,,,,,,,,,,,,
23567,2005,,,,,,,,,488.23813,2749.2197,,,,,,,,,,,,,,
23597,2005,,,,,,,,,198.63695,422.10672,,,,,,,,,,,,,,
23598,2005,,,,,,,,,280.34595,662.4459,,,,,,,,,,,,,,
23603,2005,,,,,,,,,288.72327,845.1421,,,,,,,,,,,,,,
38201,2005,,,,,,,,,647.37854,1770.6632,,,,,,,,,,,,,,
38202,2005,,,,,,,,,618.37646,1657.7932,,,,,,,,,,,,,,
38203,2005,,,,,,,,,503.93567,1512.7006,,,,,,,,,,,,,,
38204,2005,,,,,,,,,501.95908,1349.2736,,,,,,,,,,,,,,
38205,2005,,,,,,,,,586.4258,1529.3545,,,,,,,,,,,,,,
38206,2005,,,,,,,,,492.05106,1321.3586,,,,,,,,,,,,,,
38207,2005,,,,,,,,,770.42694,1656.141,,,,,,,,,,,,,,
38208,2005,,,,,,,,,1536.2844,2068.195,,,,,,,,,,,,,,
38209,2005,,,,,,,,,355.81604,605.2761,,,,,,,,,,,,,,
38210,2005,,,,,,,,,112.7768,203.75719,,,,,,,,,,,,,,
38211,2005,,,,,,,,,109.80747,199.83392,,,,,,,,,,,,,,
38212,2005,,,,,,,,,371.04947,726.837,,,,,,,,,,,,,,
38213,2005,,,,,,,,,208.66496,353.36258,,,,,,,,,,,,,,
38214,2005,,,,,,,,,285.63464,510.045,,,,,,,,,,,,,,
38242,2005,,,,,,,,,184.83788,432.05115,,,,,,,,,,,,,,
38312,2005,,,,,,,,,433.62988,983.4916,,,,,,,,,,,,,,
38314,2005,,,,,,,,,257.68875,581.5785,,,,,,,,,,,,,,
38315,2005,,,,,,,,,116.44166,179.90411,,,,,,,,,,,,,,
38316,2005,,,,,,,,,174.01756,117.584915,,,,,,,,,,,,,,
38319,2005,,,,,,,,,835.4637,839.01056,,,,,,,,,,,,,,
38352,2005,,,,,,,,,404.45288,1162.0066,,,,,,,,,,,,,,
38364,2005,,,,,,,,,433.7439,1282.3278,,,,,,,,,,,,,,
38391,2005,,,,,,,,,149.13332,359.06406,,,,,,,,,,,,,,
38394,2005,,,,,,,,,271.11884,741.4925,,,,,,,,,,,,,,
38402,2005,,,,,,,,,106.64663,244.84418,,,,,,,,,,,,,,
38418,2005,,,,,,,,,669.7598,1128.6029,,,,,,,,,,,,,,
38422,2005,,,,,,,,,424.05823,858.05145,,,,,,,,,,,,,,
38428,2005,,,,,,,,,437.61554,1073.1677,,,,,,,,,,,,,,
38432,2005,,,,,,,,,293.93234,346.35486,,,,,,,,,,,,,,
38434,2005,,,,,,,,,352.84177,614.46375,,,,,,,,,,,,,,
38437,2005,,,,,,,,,400.36667,899.51874,,,,,,,,,,,,,,
23505,2030,,,,,,,,,,,186.93263,1095.7197,,,163.746,956.041,107.74638,782.66187,,,123.98843,899.4597,,
