station_id,year,EMEP_Standard_DEP_SOX_mgpm2,EMEP_Standard_DEP_TOTN_mgpm2
38214,2010,207.63754,478.4384
38242,2010,152.36584,463.43506
38312,2010,303.60132,949.9557
38314,2010,185.52972,572.8925
38315,2010,59.671307,151.49666
38316,2010,354.62036,96.993416
38319,2010,604.1969,721.90674
38352,2010,251.58386,906.4503
38364,2010,253.6732,960.4677
38391,2010,128.06116,373.58484
38394,2010,236.4162,753.1019
38402,2010,86.91397,235.73787
38418,2010,359.09448,825.65753
38422,2010,252.87708,667.33484
38428,2010,310.61456,976.23303
38432,2010,169.48175,284.21295
38434,2010,271.47873,622.912
38437,2010,262.44724,751.96924
23505,2011,324.54694,1490.0051
23506,2011,374.8423,1681.3049
23507,2011,437.2312,1491.3215
23509,2011,227.92665,1254.5042
23510,2011,300.62897,1382.9598
23511,2011,428.0951,1536.1398
23512,2011,246.3093,1191.4932
23514,2011,246.3093,1191.4932
23522,2011,327.82544,1498.3671
23525,2011,490.67108,1335.781
23527,2011,246.3093,1191.4932
23528,2011,430.06842,1434.0211
23530,2011,328.89972,1476.0173
23531,2011,246.3093,1191.4932
23532,2011,366.2561,1563.2994
23533,2011,366.2561,1563.2994
23534,2011,611.21094,1297.9054
23536,2011,492.17682,1640.1879
23537,2011,327.82544,1498.3671
23562,2011,160.92,870.1287
23563,2011,316.54605,1964.1166
23564,2011,160.92,870.1287
23565,2011,390.50906,2358.982
23566,2011,349.7832,2151.632
23567,2011,382.92972,2454.7764
23597,2011,158.92896,445.81546
23598,2011,208.45728,668.4609
23603,2011,252.60962,946.51636
38201,2011,315.9764,1522.3816
38202,2011,297.64935,1412.5294
38203,2011,264.25464,1354.7083
38204,2011,258.9887,1168.8534
38205,2011,279.0954,1277.5334
38206,2011,253.5613,1143.1716
38207,2011,395.51917,1350.0433
38208,2011,831.4618,1544.123
38209,2011,288.3582,599.7077
38210,2011,104.82394,210.0232
38211,2011,105.86139,210.98212
38212,2011,290.12173,805.86096
38213,2011,146.42783,312.65256
38214,2011,268.14365,471.34872
38242,2011,115.33138,452.0165
38312,2011,358.48633,1131.9304
38314,2011,182.71611,606.02136
38315,2011,72.78385,182.03264
38316,2011,367.09177,117.92044
38319,2011,624.23785,860.45636
38352,2011,309.97736,1113.7079
38364,2011,342.3697,1253.0038
38391,2011,115.31639,364.5486
38394,2011,226.79114,822.3351
38402,2011,81.09936,251.82092
38418,2011,475.41562,1165.9279
38422,2011,274.24988,761.9355
38428,2011,303.9123,968.24713
38432,2011,419.7841,358.28168
38434,2011,349.1639,761.0489
38437,2011,347.78183,1076.8163
23505,2012,350.42566,1538.2335
23506,2012,343.27905,1685.9973
23507,2012,420.98444,1606.3699
23509,2012,270.9819,1380.6213
23510,2012,321.2017,1501.7234
23511,2012,469.0243,1671.1035
23512,2012,262.51215,1234.4836
23514,2012,262.51215,1234.4836
23522,2012,303.72675,1513.0405
23525,2012,501.641,1429.6516
23527,2012,262.51215,1234.4836
23528,2012,453.53882,1535.4188
23530,2012,378.6266,1609.1986
23531,2012,262.51215,1234.4836
23532,2012,332.3429,1576.6093
23533,2012,332.3429,1576.6093
23534,2012,610.56195,1323.4282
23536,2012,465.201,1729.7705
23537,2012,303.72675,1513.0405
23562,2012,182.9836,1073.7087
23563,2012,349.4354,2192.2227
23564,2012,182.9836,1073.7087
23565,2012,404.46036,2591.1023
23566,2012,385.22192,2442.6284
23567,2012,398.09827,2630.9783
23597,2012,156.72513,423.52182
23598,2012,213.41734,776.24
23603,2012,225.80408,964.18225
38201,2012,327.10132,1522.6816
38202,2012,308.04684,1412.2516
38203,2012,272.5985,1410.1705
38204,2012,272.68237,1224.9215
38205,2012,291.59186,1301.3381
38206,2012,264.27118,1172.771
38207,2012,396.42404,1415.2002
38208,2012,931.21094,1742.6848
38209,2012,247.0722,611.6658
38210,2012,87.79698,165.7463
38211,2012,84.829735,162.9921
38212,2012,289.52582,834.1779
38213,2012,131.6545,316.6981
38214,2012,204.12619,526.5824
38242,2012,104.51605,396.935
38312,2012,300.50708,952.6533
38314,2012,149.14537,503.06992
38315,2012,63.54608,164.49585
38316,2012,280.1352,95.7831
38319,2012,572.75006,800.70374
38352,2012,244.30215,959.56494
38364,2012,273.76297,1110.6212
38391,2012,90.43195,304.9795
38394,2012,209.15886,811.9208
38402,2012,61.505634,212.28221
38418,2012,446.39355,982.8054
38422,2012,293.4051,846.2359
38428,2012,290.11768,936.94305
38432,2012,164.69028,271.5919
38434,2012,241.66731,559.5571
38437,2012,259.52173,753.7103
23505,2013,346.10794,1600.4229
23506,2013,372.15662,1718.7681
23507,2013,391.6646,1555.2288
23509,2013,211.11069,1313.3438
23510,2013,318.96985,1509.4932
23511,2013,456.71973,1583.6719
23512,2013,264.92035,1245.6982
23514,2013,264.92035,1245.6982
23522,2013,336.67972,1531.7867
23525,2013,491.90732,1393.3868
23527,2013,264.92035,1245.6982
23528,2013,454.19415,1469.7048
23530,2013,335.87366,1597.9133
23531,2013,264.92035,1245.6982
23532,2013,370.00323,1614.0684
23533,2013,370.00323,1614.0684
23534,2013,588.01587,1277.2921
23536,2013,440.68607,1719.04
23537,2013,336.67972,1531.7867
23562,2013,142.30225,897.5138
23563,2013,300.82864,1931.6917
23564,2013,142.30225,897.5138
23565,2013,333.6992,2295.121
23566,2013,321.876,2008.8466
23567,2013,351.1535,2316.9756
23597,2013,96.200195,313.0717
23598,2013,173.30043,674.90594
23603,2013,186.47786,800.70624
38201,2013,334.69324,1582.0729
38202,2013,322.20975,1481.3203
38203,2013,284.51324,1450.1948
38204,2013,281.18317,1235.6775
38205,2013,313.9547,1370.9749
38206,2013,278.19183,1193.7655
38207,2013,441.70392,1383.0142
38208,2013,830.94244,1625.7606
38209,2013,221.54593,565.84155
38210,2013,57.973183,131.9325
38211,2013,57.151054,127.36744
38212,2013,247.72699,740.11584
38213,2013,108.88009,252.68791
38214,2013,177.03835,456.23624
38242,2013,81.51557,357.70206
38312,2013,247.5468,856.88043
38314,2013,123.76798,471.50616
38315,2013,50.00315,137.82178
38316,2013,260.8823,89.9223
38319,2013,518.96313,691.01495
38352,2013,202.67079,830.6575
38364,2013,218.57051,926.92645
38391,2013,60.318787,244.2465
38394,2013,174.12936,694.3209
38402,2013,38.32331,153.68958
38418,2013,400.00867,1006.7579
38422,2013,263.68176,761.1348
38428,2013,332.48224,1141.2883
38432,2013,182.84958,290.22626
38434,2013,272.5232,588.5616
38437,2013,264.64978,834.2482
23505,2014,300.25412,1496.0671
