station_id,variable,median,mk_p_val,mk_trend,sen_slp,sen_incpt,sen_trend
38140,totn_mgNpm2,449.53260436000005,1.1894144980040267e-07,decreasing,-8.15164322000004,16777.27397402008,decreasing
38141,totn_mgNpm2,441.9672955599999,1.1894144980040267e-07,decreasing,-8.014457009999973,16494.924686589948,decreasing
38142,totn_mgNpm2,432.0340871,1.1894144980040267e-07,decreasing,-7.834332193333334,16124.201470346668,decreasing
38143,totn_mgNpm2,448.77734832000004,1.1894144980040267e-07,decreasing,-8.137947720000057,16749.086631480113,decreasing
38144,totn_mgNpm2,430.46884888000005,1.1894144980040267e-07,decreasing,-7.805948779999966,16065.784255219933,decreasing
38145,totn_mgNpm2,436.95051624000007,1.1894144980040267e-07,decreasing,-7.923484729999984,16307.690430429968,decreasing
38146,totn_mgNpm2,459.67015933999994,1.1894144980040267e-07,decreasing,-8.335473579999984,17155.62374007997,decreasing
38147,totn_mgNpm2,434.35090692000006,1.1894144980040267e-07,decreasing,-7.8763444666666755,16210.668873653352,decreasing
38148,totn_mgNpm2,440.3911176000001,1.1894144980040267e-07,decreasing,-7.985875239999984,16436.09922331997,decreasing
38149,totn_mgNpm2,464.56287192,1.1894144980040267e-07,decreasing,-8.424196059999986,17338.22758009997,decreasing
38150,totn_mgNpm2,449.98319142,1.1894144980040267e-07,decreasing,-8.159814040000015,16794.09071354003,decreasing
38151,totn_mgNpm2,443.78063912000005,1.1894144980040267e-07,decreasing,-8.047339439999945,16562.60153743989,decreasing
38152,totn_mgNpm2,471.83266984,1.1894144980040267e-07,decreasing,-8.556023699999969,17609.54814093994,decreasing
38153,totn_mgNpm2,441.21023016,1.1894144980040267e-07,decreasing,-8.000728679999952,16466.669776199902,decreasing
38154,totn_mgNpm2,449.64754058,1.1894144980040267e-07,decreasing,-8.153727469999922,16781.563662989844,decreasing
38155,totn_mgNpm2,454.8814155200001,1.1894144980040267e-07,decreasing,-8.248636479999979,16976.90028495996,decreasing
