period,region,variable,n_vals,mean,median,std_dev,iqr,mk_p_val,mk_trend,sen_slp
1990-2004,NoNord,H_µeq/l,664,1.829331849806542,0.7585775750291835,3.5520902675859545,1.046584059155954,0.0,decreasing,-0.01587279877455325
1990-2004,NoNord,SAA_µeq/l,667,179.90600954998686,150.80295679320056,123.97911170146637,155.79431046994662,0.0,decreasing,-2.050211023200652
1990-2004,NoNord,ANC_µeq/l,666,83.10973826789653,36.72292586077076,176.39838859988788,76.19660018455386,0.0,increasing,1.752719475678562
1990-2004,NoNord,OrgAnions_µeq/l,661,51.11752845680749,28.574850996374188,47.59497144342474,64.9415714889388,1.901148571903377e-09,increasing,0.22163240302489554
1990-2004,NoNord,HCO3_µeq/l,661,42.838258288441274,3.0859573621476937,146.92542084154343,20.35483814908477,0.0,increasing,0.0
1990-2004,WCE,SO4_µeq/l,45,312.21339066691473,246.37128675766382,148.8020676516139,222.77372019620745,3.738943377129544e-09,decreasing,-6.0146591122548205
1990-2004,WCE,NO3-N_µeq/l,41,40.67073170731708,33.857142857142854,22.70620014472796,18.892857142857142,0.011112785554695748,decreasing,-1.3452380952380953
1990-2004,WCE,Cl_µeq/l,45,161.4748164236219,141.03178856514256,71.1684961662442,135.67258059966716,8.147083042686631e-05,decreasing,-1.6923814627817038
1990-2004,WCE,Ca_µeq/l,45,181.5502328675981,175.17465069860282,66.88808965565336,102.29540918163673,2.1995298742139013e-05,decreasing,-3.326679973386566
1990-2004,WCE,Mg_µeq/l,45,164.78922160067273,150.2138861467588,37.91105639566895,69.10167818361302,0.01984698894734449,decreasing,-1.3710650433256621
1990-2004,WCE,CaMg_µeq/l,45,347.0160326489721,323.0609117401919,103.48244673147418,158.8678516609427,0.0006067668456359865,decreasing,-5.149442656462182
1990-2004,WCE,H_µeq/l,45,27.32561628770438,19.952623149688787,29.131338767664012,49.4730691336926,0.008059601705556751,decreasing,-0.10227002429848409
1990-2004,WCE,SAA_µeq/l,41,517.9580819117568,475.58650861666104,175.62648797381493,214.55992290771445,7.110273703148096e-09,decreasing,-8.939561645242065
1990-2004,WCE,ANC_µeq/l,41,-1.1316497569883928,-0.8743164939923139,71.30120306809813,90.45025599826386,0.03741686796674282,increasing,4.143343561665351
1990-2004,WCE,OrgAnions_µeq/l,43,42.85643590188126,42.93163378389751,20.982739291708068,34.00939346239521,0.00011573900250128055,increasing,1.3379878806570271
1990-2004,WCE,HCO3_µeq/l,40,26.48151805192679,3.779372691879905,35.90489508982686,55.899404694467606,0.4598029214524013,no trend,0.0
1990-2004,ECE,SO4_µeq/l,327,101.24577586469456,64.12401175912125,108.29996165101659,57.07590254586638,0.0,decreasing,-3.5272944708963268
1990-2004,ECE,NO3-N_µeq/l,324,27.62380805668088,27.388248847926285,19.961677917847634,23.966491071428578,0.0,decreasing,-0.7310336936056032
1990-2004,ECE,Cl_µeq/l,318,13.798889248485949,6.403125264434603,18.892536547899965,14.031871421318366,2.220446049250313e-16,decreasing,-0.205085606295659
1990-2004,ECE,Ca_µeq/l,322,106.98101978812568,87.17310878243514,81.99133073368584,120.15548902195607,0.0,decreasing,-1.4583258483033938
1990-2004,ECE,Mg_µeq/l,320,25.21573549528727,14.436229877591312,24.208368431043137,27.996540539980266,0.0,decreasing,-0.3281486136417052
1990-2004,ECE,CaMg_µeq/l,324,132.39470334368667,95.96612188850335,97.58623569257298,111.90276478533553,0.0,decreasing,-2.146250000000002
1990-2004,ECE,H_µeq/l,327,11.87849750605117,4.704182363989028,17.443530537883937,17.351636370885423,0.0,decreasing,-0.11957288266318024
1990-2004,ECE,SAA_µeq/l,323,142.03726326792273,102.96794878328073,133.2069989890225,69.21621382212156,0.0,decreasing,-4.729352660868017
1990-2004,ECE,ANC_µeq/l,315,28.862799664512497,14.09796827696576,93.49098832065322,114.39820091062592,0.0,increasing,2.91082053228944
1990-2004,ECE,OrgAnions_µeq/l,274,23.087738940299324,10.620529853568247,27.859686360069933,27.352730758837264,4.422339339171799e-08,increasing,0.29106169793308323
1990-2004,ECE,HCO3_µeq/l,272,43.59169872745991,1.5153935297409964,68.50730236242279,76.04568810116409,2.8193620771332917e-09,increasing,0.0
1990-2004,AdsCsk,SO4_µeq/l,719,90.53794708085017,93.28830172514303,24.016115749436782,27.588476430748614,0.0,decreasing,-2.0900967014442235
1990-2004,AdsCsk,NO3-N_µeq/l,719,11.281995827538253,10.6,9.189230514528782,14.3925,0.0149249557201383,decreasing,-0.05499999999999999
1990-2004,AdsCsk,Cl_µeq/l,719,9.34232135558266,8.459284122641241,3.953486195200452,2.957249739091189,0.003154084522841716,decreasing,-0.01999830761853743
1990-2004,AdsCsk,Ca_µeq/l,719,86.24240866320206,78.13396956087826,43.43451974806306,56.31808882235529,0.0,decreasing,-0.967253253908849
1990-2004,AdsCsk,Mg_µeq/l,719,30.274618416771148,27.866238894373144,15.091781781695428,18.565831688055276,0.0,decreasing,-0.20489881539980281
1990-2004,AdsCsk,CaMg_µeq/l,719,116.55017210850826,106.1704122603756,55.69201325993419,72.08793785824206,0.0,decreasing,-1.2154426694899119
1990-2004,AdsCsk,H_µeq/l,719,7.25059689956062,2.7873448128470724,10.426828167701569,8.790642153271744,1.613724043281195e-09,decreasing,-0.015482064694525888
1990-2004,AdsCsk,SAA_µeq/l,719,112.16048668282465,117.00749693545171,31.28230233243193,35.375786669230735,0.0,decreasing,-2.1899043966492187
1990-2004,AdsCsk,ANC_µeq/l,719,34.641082915006194,18.173262627461227,53.32204342782489,69.75195579560355,0.0,increasing,1.3211686293796507
1990-2004,AdsCsk,OrgAnions_µeq/l,719,52.997355025673166,47.88153331374394,27.774757025239225,33.08128494224104,8.521405803207927e-12,increasing,0.4015202301982065
1990-2004,AdsCsk,HCO3_µeq/l,719,11.886684302422129,0.0,28.278495686660083,7.147481280581157,3.093610718951645e-05,increasing,0.0
1990-2004,Ont,SO4_µeq/l,177,114.77816329625394,112.21965905210824,15.561672574080264,18.737976465101568,0.0,decreasing,-1.5198580910582393
1990-2004,Ont,NO3-N_µeq/l,180,9.284959126984122,6.464214285714285,8.73456227325708,12.38425,0.04389329486860083,decreasing,-0.037946428571428895
1990-2004,Ont,Cl_µeq/l,180,24.4916587532163,10.351733280681463,32.5339455004125,5.955067272163145,0.2294569294936939,no trend,0.028206357713028415
1990-2004,Ont,Ca_µeq/l,180,136.59098469727212,120.25948103792416,53.48884270190649,58.582834331337324,3.374012180756836e-11,decreasing,-1.1909834177798273
1990-2004,Ont,Mg_µeq/l,180,45.898230412050765,41.04968739717012,13.084305271288484,20.08267522211254,2.353672812205332e-14,decreasing,-0.41131951299769653
1990-2004,Ont,CaMg_µeq/l,180,182.3953146684584,174.6886040357587,53.700994313836105,73.19956582392965,1.014077710692618e-12,decreasing,-1.6086073009614883
1990-2004,Ont,H_µeq/l,180,0.9790351639092647,0.6088682293921128,0.8508305433739153,1.3693262863188198,1.3515188426183045e-06,decreasing,-0.008583352500133958
1990-2004,Ont,SAA_µeq/l,180,150.11463979262962,136.49227314578837,34.94276261779501,24.88069540967058,1.414846018121807e-10,decreasing,-1.336011918779134
1990-2004,Ont,ANC_µeq/l,180,79.46936560445967,73.27552235130051,50.4366056452144,58.67269008521505,0.012419330651552318,increasing,0.32865803871161725
1990-2004,Ont,OrgAnions_µeq/l,180,45.98364429675991,48.75852454225897,12.289429941694111,16.29110089989959,8.867162559766939e-10,increasing,0.35163099041816637
1990-2004,Ont,HCO3_µeq/l,180,37.83023545901299,25.321026680872276,44.7767898633709,63.200528342228566,0.5693091754147848,no trend,0.0
1990-2004,QuMaVt,SO4_µeq/l,663,75.72612666000973,70.78791109038367,25.34305318359181,37.244601380780665,0.0,decreasing,-1.4871409892937737
1990-2004,QuMaVt,NO3-N_µeq/l,664,2.02488274526679,2.357142857142857,1.46254965829921,1.7383928571428573,0.6157242685117967,no trend,0.0
