SiteID,Lat,Lon,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
23561,55.1333,-7.7000,393.81,386.39,378.89,371.33,363.70,356.01,344.85,333.59,322.24,310.80,299.27,283.03,297.13,308.60,226.70,265.53,261.13,207.47,241.87,191.33,181.37,162.33,173.13,192.03,208.40,154.10,180.67,133.80
38553,54.9557,-8.1040,418.57,412.38,406.13,399.82,393.43,386.98,376.20,365.32,354.34,343.25,332.06,277.32,291.64,325.46,215.95,267.92,264.77,219.01,259.11,175.29,164.14,162.77,180.00,198.33,211.89,150.68,180.66,127.37
38554,53.4377,-9.4543,283.37,280.56,277.73,274.88,272.00,269.11,263.71,258.28,252.81,247.30,241.76,214.49,258.91,296.57,191.57,228.40,231.58,200.16,222.23,171.51,133.85,141.25,160.37,171.79,163.95,135.94,157.48,122.48
38555,52.2060,-10.0523,251.38,249.19,246.98,244.76,242.52,240.26,235.59,230.90,226.17,221.41,216.62,173.88,179.82,235.68,140.43,179.71,155.24,154.34,172.26,139.39,114.52,114.78,153.20,118.89,123.13,95.65,112.62,92.96
38556,53.0693,-6.2792,572.29,560.72,549.06,537.33,525.51,513.61,499.28,484.85,470.32,455.70,440.98,504.66,510.51,509.48,362.56,444.46,436.55,365.71,386.89,330.13,336.74,268.80,342.11,347.84,370.91,232.72,314.62,211.04
38557,52.7928,-9.3049,370.01,367.63,365.22,362.78,360.30,357.80,352.56,347.27,341.93,336.53,331.07,277.69,306.75,362.86,251.72,298.54,291.28,271.37,266.92,214.62,179.42,182.63,212.87,190.89,196.90,169.55,207.25,163.53
38558,54.1534,-8.8518,334.39,330.56,326.70,322.79,318.85,314.88,307.75,300.56,293.32,286.01,278.65,247.43,250.32,282.19,199.94,247.11,236.90,195.09,238.71,174.66,141.03,133.88,155.51,178.47,174.75,127.85,162.81,117.33
38559,53.4433,-10.0059,297.25,294.38,291.50,288.59,285.66,282.71,276.92,271.09,265.23,259.32,253.37,224.52,245.33,269.92,190.38,212.83,209.70,211.93,210.60,170.18,130.30,139.28,142.78,154.91,147.27,129.97,163.09,120.47
38560,53.6634,-9.7866,285.50,282.75,279.97,277.18,274.36,271.52,265.93,260.29,254.62,248.91,243.15,214.61,231.38,253.13,184.03,204.77,198.01,198.78,205.49,159.48,120.66,125.18,136.67,156.65,155.64,121.88,147.98,103.40
38561,53.4368,-9.5476,290.35,287.53,284.69,281.83,278.95,276.04,270.52,264.97,259.37,253.74,248.07,220.19,268.26,296.49,195.09,228.38,234.52,204.26,223.17,174.42,136.06,143.71,160.40,171.33,162.85,137.35,159.34,123.00
